partition,strategy,spread_label,spread,exit_threshold,min_entry,max_entry,e_star,n_trades,proj_60d,total_pnl,sharpe,win_rate,exit_rate,max_dd,mean_pnl_per_trade
IS,hybrid_maker,moderate,0.1,0.12,0.15,0.55,0.05,174,208.8,68.175,17.99851824337772,0.8620689655172413,0.8563218390804598,-2.200000000000003,0.39181034482758625
IS,hybrid_maker,moderate,0.1,0.12,0.15,0.65,0.02,192,230.39999999999998,79.55,20.84523610186512,0.875,0.8697916666666666,-1.6000000000000014,0.4143229166666666
IS,hybrid_maker,moderate,0.1,0.12,0.15,0.65,0.037,184,220.8,74.175,18.745744563321452,0.8695652173913043,0.8641304347826086,-2.200000000000003,0.4031249999999999
IS,hybrid_maker,moderate,0.1,0.12,0.15,0.65,0.05,177,212.4,69.97500000000001,18.63528437671457,0.864406779661017,0.8587570621468926,-2.200000000000003,0.3953389830508474
IS,hybrid_maker,moderate,0.1,0.12,0.25,0.55,0.02,121,145.2,55.3,18.34397242979909,0.9256198347107438,0.9173553719008265,-1.0,0.4570247933884297
IS,hybrid_maker,moderate,0.1,0.12,0.25,0.55,0.037,114,136.79999999999998,52.8,17.73027640468648,0.9298245614035088,0.9210526315789473,-1.0,0.4631578947368421
IS,hybrid_maker,moderate,0.1,0.12,0.25,0.55,0.05,110,132.0,50.4,17.375780638323665,0.9272727272727272,0.9181818181818182,-1.0,0.4581818181818182
IS,hybrid_maker,moderate,0.1,0.12,0.25,0.65,0.02,125,150.0,57.699999999999996,19.541245029960823,0.928,0.92,-1.0,0.46159999999999995
IS,hybrid_maker,moderate,0.1,0.12,0.25,0.65,0.037,120,144.0,56.4,19.245286535412575,0.9333333333333333,0.925,-1.0,0.4699999999999999
IS,hybrid_maker,moderate,0.1,0.12,0.25,0.65,0.05,116,139.2,54.00000000000001,18.688279446477605,0.9310344827586207,0.9224137931034483,-1.0,0.4655172413793103
IS,hybrid_maker,moderate,0.1,0.12,0.35,0.55,0.02,78,93.60000000000001,34.575,11.827992780676514,0.9230769230769231,0.9102564102564102,-2.1999999999999993,0.4432692307692308
IS,hybrid_maker,moderate,0.1,0.12,0.35,0.55,0.037,71,85.19999999999999,30.374999999999996,10.314993796315584,0.9154929577464789,0.9014084507042254,-2.1999999999999993,0.42781690140845074
IS,hybrid_maker,moderate,0.1,0.12,0.35,0.55,0.05,67,80.4,27.974999999999998,9.673083929065447,0.9104477611940298,0.8955223880597015,-2.1999999999999975,0.4175373134328359
IS,hybrid_maker,moderate,0.1,0.12,0.35,0.65,0.02,85,102.0,38.775,13.624896778791964,0.9294117647058824,0.9176470588235294,-2.1999999999999993,0.45617647058823535
IS,hybrid_maker,moderate,0.1,0.12,0.35,0.65,0.037,78,93.60000000000001,34.574999999999996,11.849068041975242,0.9230769230769231,0.9102564102564102,-2.1999999999999993,0.4432692307692308
IS,hybrid_maker,moderate,0.1,0.12,0.35,0.65,0.05,75,90.0,32.775000000000006,11.443030203938964,0.92,0.9066666666666666,-2.1999999999999993,0.437
IS,hybrid_maker,moderate,0.1,0.15,0.15,0.55,0.02,190,228.0,79.6,15.257390844065721,0.7842105263157895,0.7736842105263158,-1.8500000000000014,0.4189473684210526
IS,hybrid_maker,moderate,0.1,0.15,0.15,0.55,0.037,181,217.20000000000002,77.85,15.176789113568677,0.7900552486187845,0.7790055248618785,-2.049999999999997,0.43011049723756906
IS,hybrid_maker,moderate,0.1,0.15,0.15,0.55,0.05,174,208.8,72.6,14.85987990073612,0.7816091954022989,0.7701149425287356,-2.049999999999997,0.4172413793103448
IS,hybrid_maker,moderate,0.1,0.15,0.15,0.65,0.02,192,230.39999999999998,81.1,15.498629187890174,0.7864583333333334,0.7760416666666666,-1.8500000000000014,0.4223958333333333
IS,hybrid_maker,moderate,0.1,0.15,0.15,0.65,0.037,184,220.8,76.675,14.275226927816785,0.7880434782608695,0.7771739130434783,-2.049999999999997,0.4167119565217392
IS,hybrid_maker,moderate,0.1,0.15,0.15,0.65,0.05,177,212.4,71.42500000000001,13.972911554417378,0.7796610169491526,0.768361581920904,-2.049999999999997,0.40353107344632766
IS,hybrid_maker,moderate,0.1,0.15,0.25,0.55,0.02,121,145.2,62.775,16.057179860421382,0.8760330578512396,0.859504132231405,-2.25,0.518801652892562
