event_id,event_slug,event_title,city,event_date,n_buckets,bucket_width,min_bucket,max_bucket,neg_risk,total_volume,created_at,accepting_orders
285293,highest-temperature-in-taipei-on-march-20-2026,Highest temperature in Taipei on March 20?,taipei,2026-03-20,11,,,,True,13631.731624999999,2026-03-19T06:25:40.645799Z,False
285292,highest-temperature-in-warsaw-on-march-20-2026,Highest temperature in Warsaw on March 20?,warsaw,2026-03-20,11,,,,True,0.0,2026-03-19T06:25:32.376783Z,False
285291,highest-temperature-in-madrid-on-march-20-2026,Highest temperature in Madrid on March 20?,madrid,2026-03-20,11,,,,True,0.0,2026-03-19T06:25:24.192378Z,False
285290,highest-temperature-in-milan-on-march-20-2026,Highest temperature in Milan on March 20?,milan,2026-03-20,11,,,,True,7071.631275999999,2026-03-19T06:25:15.207885Z,False
275661,highest-temperature-in-singapore-on-march-20-2026,Highest temperature in Singapore on March 20?,singapore,2026-03-20,11,,,,True,8700.626652,2026-03-16T10:01:20.006194Z,False
275660,highest-temperature-in-shanghai-on-march-20-2026,Highest temperature in Shanghai on March 20?,shanghai,2026-03-20,11,,,,True,0.0,2026-03-16T10:01:15.802601Z,False
275659,highest-temperature-in-tokyo-on-march-20-2026,Highest temperature in Tokyo on March 20?,tokyo,2026-03-20,11,,,,True,0.0,2026-03-16T10:01:11.688153Z,False
275658,highest-temperature-in-tel-aviv-on-march-20-2026,Highest temperature in Tel Aviv on March 20?,tel_aviv,2026-03-20,11,,,,True,24787.465789999995,2026-03-16T10:01:07.227132Z,False
275657,highest-temperature-in-munich-on-march-20-2026,Highest temperature in Munich on March 20?,munich,2026-03-20,11,,,,True,7254.823754,2026-03-16T10:01:03.207255Z,False
275656,highest-temperature-in-lucknow-on-march-20-2026,Highest temperature in Lucknow on March 20?,lucknow,2026-03-20,11,,,,True,14907.461782999999,2026-03-16T10:00:59.250769Z,False
275655,highest-temperature-in-wellington-on-march-20-2026,Highest temperature in Wellington on March 20?,wellington,2026-03-20,11,,,,True,8907.205363000005,2026-03-16T10:00:55.256152Z,False
275654,highest-temperature-in-ankara-on-march-20-2026,Highest temperature in Ankara on March 20?,ankara,2026-03-20,11,,,,True,54851.269390999994,2026-03-16T10:00:51.185318Z,False
275653,highest-temperature-in-chicago-on-march-20-2026,Highest temperature in Chicago on March 20?,chicago_midway,2026-03-20,11,2.0,60.0,77.0,True,78645.79343399999,2026-03-16T10:00:47.105956Z,False
275652,highest-temperature-in-miami-on-march-20-2026,Highest temperature in Miami on March 20?,miami,2026-03-20,11,2.0,68.0,85.0,True,0.0,2026-03-16T10:00:42.832114Z,False
275651,highest-temperature-in-atlanta-on-march-20-2026,Highest temperature in Atlanta on March 20?,atlanta,2026-03-20,11,2.0,62.0,79.0,True,0.0,2026-03-16T10:00:38.853989Z,False
275650,highest-temperature-in-dallas-on-march-20-2026,Highest temperature in Dallas on March 20?,dallas,2026-03-20,11,2.0,78.0,95.0,True,9902.767228000002,2026-03-16T10:00:34.768659Z,False
275649,highest-temperature-in-nyc-on-march-20-2026,Highest temperature in NYC on March 20?,new_york_city,2026-03-20,11,2.0,44.0,61.0,True,0.0,2026-03-16T10:00:30.719019Z,False
275648,highest-temperature-in-seattle-on-march-20-2026,Highest temperature in Seattle on March 20?,seattle,2026-03-20,11,2.0,44.0,61.0,True,0.0,2026-03-16T10:00:26.572715Z,False
275646,highest-temperature-in-toronto-on-march-20-2026,Highest temperature in Toronto on March 20?,toronto,2026-03-20,11,,,,True,28294.955750999987,2026-03-16T10:00:22.085441Z,False
275644,highest-temperature-in-seoul-on-march-20-2026,Highest temperature in Seoul on March 20?,seoul,2026-03-20,11,,,,True,0.0,2026-03-16T10:00:18.003218Z,False
275642,highest-temperature-in-buenos-aires-on-march-20-2026,Highest temperature in Buenos Aires on March 20?,buenos_aires,2026-03-20,11,,,,True,0.0,2026-03-16T10:00:13.938521Z,False
275638,highest-temperature-in-paris-on-march-20-2026,Highest temperature in Paris on March 20?,paris,2026-03-20,11,,,,True,23270.420042000016,2026-03-16T10:00:05.611434Z,False
287675,highest-temperature-in-chongqing-on-march-20-2026,Highest temperature in Chongqing on March 20?,chongqing,2026-03-20,11,,,,True,9005.430752,2026-03-19T22:49:26.593873Z,False
275636,highest-temperature-in-london-on-march-20-2026,Highest temperature in London on March 20?,london,2026-03-20,11,,,,True,0.0,2026-03-16T10:00:00.860888Z,False
287679,highest-temperature-in-shenzhen-on-march-20-2026,Highest temperature in Shenzhen on March 20?,shenzhen,2026-03-20,11,,,,True,1022.1380100000001,2026-03-19T22:51:44.755932Z,False
287678,highest-temperature-in-chengdu-on-march-20-2026,Highest temperature in Chengdu on March 20?,chengdu,2026-03-20,11,,,,True,0.0,2026-03-19T22:51:10.242325Z,False
287677,highest-temperature-in-wuhan-on-march-20-2026,Highest temperature in Wuhan on March 20?,wuhan,2026-03-20,11,,,,True,1322.763332,2026-03-19T22:50:35.728291Z,False
287696,highest-temperature-in-wuhan-on-march-21-2026,Highest temperature in Wuhan on March 21?,wuhan,2026-03-21,11,,,,True,0.0,2026-03-19T22:53:32.202773Z,False
279186,highest-temperature-in-warsaw-on-march-21-2026,Highest temperature in Warsaw on March 21?,warsaw,2026-03-21,11,,,,True,15415.320176999998,2026-03-17T10:01:36.289267Z,False
279185,highest-temperature-in-madrid-on-march-21-2026,Highest temperature in Madrid on March 21?,madrid,2026-03-21,11,,,,True,3226.778099,2026-03-17T10:01:32.163935Z,False
279184,highest-temperature-in-milan-on-march-21-2026,Highest temperature in Milan on March 21?,milan,2026-03-21,11,,,,True,19481.325437,2026-03-17T10:01:28.159925Z,False
279183,highest-temperature-in-singapore-on-march-21-2026,Highest temperature in Singapore on March 21?,singapore,2026-03-21,11,,,,True,36608.537662999996,2026-03-17T10:01:23.960227Z,False
279182,highest-temperature-in-shanghai-on-march-21-2026,Highest temperature in Shanghai on March 21?,shanghai,2026-03-21,11,,,,True,47054.676237999985,2026-03-17T10:01:19.884135Z,False
279181,highest-temperature-in-hong-kong-on-march-21-2026,Highest temperature in Hong Kong on March 21?,hong_kong,2026-03-21,11,,,,True,0.0,2026-03-17T10:01:15.606554Z,False
279180,highest-temperature-in-tokyo-on-march-21-2026,Highest temperature in Tokyo on March 21?,tokyo,2026-03-21,11,,,,True,34149.790902,2026-03-17T10:01:11.434705Z,False
279179,highest-temperature-in-tel-aviv-on-march-21-2026,Highest temperature in Tel Aviv on March 21?,tel_aviv,2026-03-21,11,,,,True,19261.443575,2026-03-17T10:01:07.374605Z,False
279178,highest-temperature-in-munich-on-march-21-2026,Highest temperature in Munich on March 21?,munich,2026-03-21,11,,,,True,0.0,2026-03-17T10:01:02.991263Z,False
